municipality,municipality code,year,gender,age,ethnicity,education,income,income observations,days in hospital,days in hospital observations,number of hospitalizations,number of hospitalizations observations
Denmark,0,2005,Men,18-29,Danish,Higher education,,,0.186,30425.0,0.049,30425.0
Denmark,0,2005,Men,18-29,Danish,No higher education,,,0.269,296267.0,0.076,296267.0
Denmark,0,2005,Men,18-29,Immigrants and descendants,Higher education,,,0.159,1925.0,0.047,1925.0
Denmark,0,2005,Men,18-29,Immigrants and descendants,No higher education,,,0.256,26048.0,0.078,26048.0
Denmark,0,2005,Men,18-29,Non-western immigrants and descendants,Higher education,,,0.155,1096.0,0.047,1096.0
Denmark,0,2005,Men,18-29,Non-western immigrants and descendants,No higher education,,,0.263,22453.0,0.081,22453.0
Denmark,0,2005,Men,30-39,Danish,Higher education,271510.362,98566.0,0.215,103551.0,0.056,103551.0
Denmark,0,2005,Men,30-39,Danish,No higher education,218419.246,229065.0,0.386,249125.0,0.096,249125.0
Denmark,0,2005,Men,30-39,Immigrants and descendants,Higher education,220190.11,5813.0,0.202,6508.0,0.062,6508.0
Denmark,0,2005,Men,30-39,Immigrants and descendants,No higher education,169031.486,14256.0,0.359,15981.0,0.094,15981.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,190374.958,3201.0,0.266,3532.0,0.079,3532.0
Denmark,0,2005,Men,30-39,Non-western immigrants and descendants,No higher education,159359.084,11323.0,0.389,12604.0,0.099,12604.0
Denmark,0,2005,Men,40-49,Danish,Higher education,304607.755,81883.0,0.326,87807.0,0.077,87807.0
Denmark,0,2005,Men,40-49,Danish,No higher education,235445.897,239090.0,0.602,264932.0,0.128,264932.0
Denmark,0,2005,Men,40-49,Immigrants and descendants,Higher education,226871.189,6813.0,0.467,7566.0,0.1,7566.0
Denmark,0,2005,Men,40-49,Immigrants and descendants,No higher education,181320.401,11456.0,0.515,12747.0,0.12,12747.0
Denmark,0,2005,Men,40-49,Non-western immigrants and descendants,Higher education,189971.937,4185.0,0.548,4616.0,0.12,4616.0
Denmark,0,2005,Men,40-49,Non-western immigrants and descendants,No higher education,163191.423,8313.0,0.547,9132.0,0.127,9132.0
Denmark,0,2005,Men,50-59,Danish,Higher education,357329.116,78494.0,0.715,86139.0,0.14,86139.0
Denmark,0,2005,Men,50-59,Danish,No higher education,268388.209,233637.0,1.093,260750.0,0.199,260750.0
Denmark,0,2005,Men,50-59,Immigrants and descendants,Higher education,273285.831,4607.0,0.665,5125.0,0.146,5125.0
Denmark,0,2005,Men,50-59,Immigrants and descendants,No higher education,210807.896,8065.0,0.909,8847.0,0.197,8847.0
Denmark,0,2005,Men,50-59,Non-western immigrants and descendants,Higher education,211035.511,1965.0,0.65,2134.0,0.158,2134.0
Denmark,0,2005,Men,50-59,Non-western immigrants and descendants,No higher education,175557.162,4383.0,0.919,4749.0,0.203,4749.0
Denmark,0,2005,Men,60-65,Danish,Higher education,361770.555,35997.0,2.12,89303.0,0.335,89303.0
Denmark,0,2005,Men,60-65,Danish,No higher education,249878.331,129606.0,2.813,393417.0,0.421,393417.0
Denmark,0,2005,Men,60-65,Immigrants and descendants,Higher education,290707.65,2083.0,1.594,4343.0,0.293,4343.0
Denmark,0,2005,Men,60-65,Immigrants and descendants,No higher education,210831.948,4079.0,2.537,8975.0,0.401,8975.0
Denmark,0,2005,Men,60-65,Non-western immigrants and descendants,Higher education,216605.218,709.0,1.324,1170.0,0.268,1170.0
Denmark,0,2005,Men,60-65,Non-western immigrants and descendants,Higher education,216605.218,709.0,2.28,3684.0,0.268,1170.0
Denmark,0,2005,Men,60-65,Non-western immigrants and descendants,No higher education,166067.689,1814.0,2.28,3684.0,0.381,3684.0
