municipality code,year,gender,age,ethnicity,education,days in hospital,days in hospital observations,weighted_hosp_days_mun,weighted_days_gen_mun,weighted_days_age_mun,weighted_days_eth_mun,weighted_days_edu_mun
0,2005,Men,18-29,Danish,Higher education,0.186,30425.0,0.001378979028446095,0.002787977170220785,0.007559076889785919,0.0015015789125947634,0.00600403589870361
0,2005,Men,18-29,Danish,No higher education,0.269,296267.0,0.019420020775881456,0.0392627976579031,0.10645370757490555,0.021146582419078245,0.025210176904369656
0,2005,Men,18-29,Immigrants and descendants,Higher education,0.159,1925.0,7.45833675496132e-05,0.00015079034685597876,0.00040883972734667923,0.0015099081944245749,0.0003247338842554329
0,2005,Men,18-29,Immigrants and descendants,No higher education,0.256,26048.0,0.0016249068850140492,0.0032851865080635824,0.008907166700283046,0.03289554094252409,0.0021093793099957736
0,2005,Men,18-29,Non-western immigrants and descendants,Higher education,0.155,1096.0,4.139580978298878e-05,8.369276851717283e-05,0.0002269172355849183,0.0012835372073167967,0.0001802361913168764
0,2005,Men,18-29,Non-western immigrants and descendants,No higher education,0.263,22453.0,0.0014389452012368057,0.002909214924586352,0.007887790308598357,0.044616585948184025,0.0018679724134964078
0,2005,Men,30-39,Danish,Higher education,0.215,103551.0,0.005425089252709137,0.010968277740965265,0.02863225115295679,0.005907413711716909,0.023620685996683433
0,2005,Men,30-39,Danish,No higher education,0.386,249125.0,0.02343250652992826,0.047375117314224766,0.12367085237780458,0.025515803321699893,0.03041900118180875
0,2005,Men,30-39,Immigrants and descendants,Higher education,0.202,6508.0,0.0003203413814084859,0.0006476563019600406,0.0016906809196904186,0.006485173473565816,0.0013947573633401626
0,2005,Men,30-39,Immigrants and descendants,No higher education,0.359,15981.0,0.001398017250853295,0.0028264680597397283,0.0073783820280207725,0.02830225789424353,0.0018148416325662964
0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,0.266,3532.0,0.0002289372500637824,0.00046285825485699366,0.0012082729954756251,0.00709853195620802,0.0009967863466947328
0,2005,Men,30-39,Non-western immigrants and descendants,No higher education,0.389,12604.0,0.0011947364842851632,0.0024154812900746623,0.006305517473757854,0.037044539980204454,0.0015509519001308343
0,2005,Men,40-49,Danish,Higher education,0.326,87807.0,0.006975267538818318,0.014102380277908468,0.037302356068701296,0.0075954125696885404,0.03037011864735858
0,2005,Men,40-49,Danish,No higher education,0.602,264932.0,0.03886378005539748,0.07857358908860702,0.20783583622195,0.04231901384364453,0.05045117004127474
0,2005,Men,40-49,Immigrants and descendants,Higher education,0.467,7566.0,0.0008609884943139245,0.0017407199213717575,0.004604396778649431,0.017430341718012343,0.0037487196843426444
0,2005,Men,40-49,Immigrants and descendants,No higher education,0.515,12747.0,0.0015996661140889768,0.0032341554976955916,0.008554699106049155,0.032384552392322075,0.0020766129032258065
0,2005,Men,40-49,Non-western immigrants and descendants,Higher education,0.548,4616.0,0.0006163969611557297,0.001246212320887967,0.003296369464932628,0.01911228306120753,0.0026837750294151663
0,2005,Men,40-49,Non-western immigrants and descendants,No higher education,0.547,9132.0,0.001217215179015921,0.002460928020179278,0.006509426881075869,0.03774152455932242,0.0015801327067469385
0,2005,Men,50-59,Danish,Higher education,0.715,86139.0,0.015007902437669309,0.030342513197080506,0.0841999286364643,0.01634219908918992,0.06534398503619471
0,2005,Men,50-59,Danish,No higher education,1.093,260750.0,0.0694478186908368,0.14040745293267087,0.3896281576997427,0.07562216532718025,0.09015396095729039
0,2005,Men,50-59,Immigrants and descendants,Higher education,0.665,5125.0,0.0008304808936699354,0.0016790405974958188,0.004659307472937909,0.01681272846564814,0.003615890449327934
0,2005,Men,50-59,Immigrants and descendants,No higher education,0.909,8847.0,0.0019596298257443046,0.003961919002071628,0.01099425400497084,0.03967186289841203,0.002543901221539793
0,2005,Men,50-59,Non-western immigrants and descendants,Higher education,0.65,2134.0,0.00033800404844586617,0.0006833661361559363,0.0018963287425526273,0.010480306453197133,0.0014716601187640646
0,2005,Men,50-59,Non-western immigrants and descendants,No higher education,0.919,4749.0,0.0010634860837414716,0.0021501232877049765,0.005966553469334186,0.032974930677808593,0.0013805686727047732
0,2005,Men,60-65,Danish,Higher education,2.12,89303.0,0.046133461279883,0.09327120585474959,0.17550290987094228,0.0502350153221255,0.20086379266260035
0,2005,Men,60-65,Danish,No higher education,2.813,393417.0,0.2696727009157617,0.54521593010166,1.0259005591698478,0.2936482953289607,0.3500766850264579
0,2005,Men,60-65,Immigrants and descendants,Higher education,1.594,4343.0,0.0016869114139905072,0.0034105453479521433,0.006417421403820376,0.034150795960752,0.007344764843120883
0,2005,Men,60-65,Immigrants and descendants,No higher education,2.537,8975.0,0.005548416503058021,0.011217616963205826,0.021107526174006387,0.11232530548416218,0.0072026988639958284
0,2005,Men,60-65,Non-western immigrants and descendants,Higher education,1.324,1170.0,0.000377474811741419,0.0007631669051953267,0.0014360060144130847,0.011704154798153425,0.0016435147118268596
0,2005,Men,60-65,Non-western immigrants and descendants,Higher education,2.28,3684.0,0.0020467679078667875,0.004138092082737011,0.007786403050961212,0.06346301179421697,0.008911569894572225
0,2005,Men,60-65,Non-western immigrants and descendants,No higher education,2.28,3684.0,0.0020467679078667875,0.004138092082737011,0.007786403050961212,0.06346301179421697,0.0026570198680524446
0,2005,Men,60-65,Non-western immigrants and descendants,No higher education,1.324,1170.0,0.000377474811741419,0.0007631669051953267,0.0014360060144130847,0.011704154798153425,0.0004900204222625438
0,2005,Women,18-29,Danish,Higher education,0.357,43149.0,0.0037536440033461693,0.007427315534486151,0.020576153119711265,0.004087366496910235,0.016343260399282366
0,2005,Women,18-29,Danish,No higher education,0.413,272456.0,0.027419564856643736,0.054254947945797286,0.15030438807281973,0.02985733613922769,0.035594816743724646
0,2005,Women,18-29,Immigrants and descendants,Higher education,0.258,3207.0,0.0002016196220232141,0.0003989436796284653,0.0011052076891121668,0.004081702522310087,0.000877846162660298
0,2005,Women,18-29,Immigrants and descendants,No higher education,0.431,27150.0,0.002851420282241056,0.005642090229856238,0.015630480749836705,0.057725777091524384,0.0037015825355491616
0,2005,Women,18-29,Non-western immigrants and descendants,Higher education,0.327,1713.0,0.00013649578670679862,0.0002700834911610074,0.000748221782612006,0.004232250118999947,0.0005942988156483379
0,2005,Women,18-29,Non-western immigrants and descendants,No higher education,0.457,22754.0,0.0025338919054719326,0.00501379851031248,0.013889902129586466,0.07856699885911161,0.003289381815329097
0,2005,Women,30-39,Danish,Higher education,0.437,132068.0,0.014063491931983965,0.02782735709684512,0.07422355915767923,0.015313824566505508,0.06123204826103055
0,2005,Women,30-39,Danish,No higher education,0.597,211973.0,0.03083677896348187,0.06101657142361205,0.16274873258347203,0.03357836201184854,0.04003088677411763
0,2005,Women,30-39,Immigrants and descendants,Higher education,0.457,7469.0,0.0008317499622910198,0.001645779250836069,0.00438976627064455,0.01683842021399924,0.003621415938404802
0,2005,Women,30-39,Immigrants and descendants,No higher education,0.572,17248.0,0.002404079928904865,0.0047569402389208825,0.012688126795667505,0.04866956405917784,0.0031208658836867366
