municipality code,year,gender,age,ethnicity,education,number of hospitalizations,number of hospitalizations observations,weighted_hospitalizations_mun,weighted_hosp_gen_mun,weighted_hosp_age_mun,weighted_hosp_eth_mun,weighted_hosp_edu_mun
0,2005,Men,18-29,Danish,Higher education,0.049,30425.0,0.00036370961977270726,0.0007362276914354964,0.0019913697182769355,0.0003955772404147495,0.0015879148794757882
0,2005,Men,18-29,Danish,No higher education,0.076,296267.0,0.005493194708977412,0.011119425605854166,0.030076140430084834,0.00597449912211876,0.0071252149466818305
0,2005,Men,18-29,Immigrants and descendants,Higher education,0.047,1925.0,2.207276363686931e-05,4.4680093493620336e-05,0.00012085199487606242,0.0004463250637607234,9.636717838818905e-05
0,2005,Men,18-29,Immigrants and descendants,No higher education,0.078,26048.0,0.0004956751045330467,0.001003354649075459,0.0027139023539924905,0.010022860130925307,0.0006429394643057183
0,2005,Men,18-29,Non-western immigrants and descendants,Higher education,0.047,1096.0,1.2567142309614942e-05,2.5438640243640466e-05,6.88071617580075e-05,0.00040401885504984356,5.48667155914053e-05
0,2005,Men,18-29,Non-western immigrants and descendants,No higher education,0.081,22453.0,0.00044369804605723964,0.0008981417328123002,0.002429319448655768,0.014264370700946674,0.0005755200966049658
0,2005,Men,30-39,Danish,Higher education,0.056,103551.0,0.0014147198436279792,0.002863701887107392,0.00745770262588642,0.001538675199330916,0.006176506113284558
0,2005,Men,30-39,Danish,No higher education,0.096,249125.0,0.005834674939368516,0.011810656159087307,0.03075751768981668,0.0063458992717181075,0.0075681484617823695
0,2005,Men,30-39,Immigrants and descendants,Higher education,0.062,6508.0,9.843903660041138e-05,0.00019926210560156766,0.0005189218664396334,0.0019904987889162403,0.00042977365030031197
0,2005,Men,30-39,Immigrants and descendants,No higher education,0.094,15981.0,0.0003664881409670737,0.0007418520250613472,0.0019319440407630992,0.007410619058659866,0.00047537123989663575
0,2005,Men,30-39,Non-western immigrants and descendants,Higher education,0.079,3532.0,6.807315934864184e-05,0.00013779493923556668,0.0003588479948968962,0.00218847206644758,0.0002971996800364699
0,2005,Men,30-39,Non-western immigrants and descendants,No higher education,0.099,12604.0,0.0003044189684999279,0.0006162104663273334,0.00160474609229313,0.00978671205264355,0.00039486140567060517
0,2005,Men,40-49,Danish,Higher education,0.077,87807.0,0.0016494835375851775,0.003338914867569635,0.008810679194141103,0.001794008490386557,0.007201457729984438
0,2005,Men,40-49,Danish,No higher education,0.128,264932.0,0.008273180671212065,0.016746724241722393,0.04419100836612891,0.008998062744163622,0.010731130735049617
0,2005,Men,40-49,Immigrants and descendants,Higher education,0.1,7566.0,0.00018458417206582283,0.0003736386707628975,0.0009859522009955954,0.0037324072201311226,0.0008058735249351072
0,2005,Men,40-49,Immigrants and descendants,No higher education,0.12,12747.0,0.00037317913423045895,0.0007553960564971695,0.0019933279470405792,0.007545915120541065,0.0004840501176233811
0,2005,Men,40-49,Non-western immigrants and descendants,Higher education,0.12,4616.0,0.00013513727807388392,0.000273547359911425,0.0007218327295472908,0.004344504662781668,0.0005899940033466225
