municipality code,year,gender,age,ethnicity,education,income,income observations,weighted_inc_mun
0,1987,Men,30-39,Danish,Higher education,202953.024,71874.0,7058.23650944563
0,1987,Men,30-39,Danish,No higher education,172306.283,251930.0,21004.379933027525
0,1987,Men,30-39,Immigrants and descendants,Higher education,186456.863,2544.0,229.52201341868803
0,1987,Men,30-39,Immigrants and descendants,No higher education,156764.888,5714.0,433.4289315817233
0,1987,Men,30-39,Non-western immigrants and descendants,Higher education,165006.237,736.0,58.76341671965045
0,1987,Men,30-39,Non-western immigrants and descendants,No higher education,138061.071,2484.0,165.94023253059268
0,1987,Men,40-49,Danish,Higher education,217594.253,64283.0,6768.188131438013
0,1987,Men,40-49,Danish,No higher education,186818.2,232999.0,21062.12108454664
0,1987,Men,40-49,Immigrants and descendants,Higher education,203769.165,2866.0,282.5813636865102
0,1987,Men,40-49,Immigrants and descendants,No higher education,169863.974,6664.0,547.7282404718702
0,1987,Men,40-49,Non-western immigrants and descendants,Higher education,179397.801,745.0,64.6699094412751
0,1987,Men,40-49,Non-western immigrants and descendants,No higher education,142749.379,2751.0,190.0175362438125
0,1987,Men,50-59,Danish,Higher education,254641.58,31664.0,3901.4312827495437
0,1987,Men,50-59,Danish,No higher education,197711.477,173543.0,16602.28428003068
0,1987,Men,50-59,Immigrants and descendants,Higher education,241666.196,1286.0,150.37849683597287
0,1987,Men,50-59,Immigrants and descendants,No higher education,176309.395,3629.0,309.593110876434
0,1987,Men,50-59,Non-western immigrants and descendants,Higher education,235985.752,211.0,24.093345174604558
0,1987,Men,50-59,Non-western immigrants and descendants,No higher education,144626.174,1562.0,109.30921907609826
0,1987,Men,60-65,Danish,Higher education,248844.992,14419.0,1736.1726543899122
0,1987,Men,60-65,Danish,No higher education,173163.607,103951.0,8709.919876543909
0,1987,Men,60-65,Immigrants and descendants,Higher education,251505.076,577.0,70.21848135019137
0,1987,Men,60-65,Immigrants and descendants,No higher education,177732.702,1388.0,119.36738346034925
0,1987,Men,60-65,Non-western immigrants and descendants,Higher education,263975.35,94.0,12.006601392578398
0,1987,Men,60-65,Non-western immigrants and descendants,No higher education,144650.407,349.0,24.427214815621266
0,1987,Women,30-39,Danish,Higher education,188881.05,90207.0,8244.370352959108
0,1987,Women,30-39,Danish,No higher education,165829.919,242948.0,19494.184926094633
0,1987,Women,30-39,Immigrants and descendants,Higher education,158585.194,5537.0,424.87974334460745
0,1987,Women,30-39,Immigrants and descendants,No higher education,183391.334,2909.0,258.13767587761953
0,1987,Women,30-39,Non-western immigrants and descendants,Higher education,166510.155,577.0,46.48848603550639
0,1987,Women,30-39,Non-western immigrants and descendants,No higher education,146780.235,1961.0,139.27527899229193
0,1987,Women,40-49,Danish,Higher education,212435.838,58799.0,6044.029689578888
0,1987,Women,40-49,Danish,No higher education,189786.228,266015.0,24428.66226413506
0,1987,Women,40-49,Immigrants and descendants,Higher education,212646.03,2923.0,300.75645637184454
0,1987,Women,40-49,Immigrants and descendants,No higher education,188173.157,5706.0,519.5391784087445
0,1987,Women,40-49,Non-western immigrants and descendants,Higher education,188995.814,219785.0,20099.21515287395
0,1987,Women,40-49,Non-western immigrants and descendants,No higher education,169246.555,1115.0,91.31109892967915
0,1987,Women,50-59,Danish,Higher education,200558.862,5597.0,543.1578097199842
0,1987,Women,50-59,Danish,No higher education,246925.828,27104.0,3238.3871842684125
0,1987,Women,50-59,Immigrants and descendants,Higher education,183925.23,581.0,51.706638519937876
0,1987,Women,50-59,Immigrants and descendants,No higher education,247020.845,1419.0,169.60742598237744
0,1987,Women,50-59,Non-western immigrants and descendants,Higher education,191299.105,454.0,42.02402593060334
0,1987,Women,50-59,Non-western immigrants and descendants,No higher education,247676.694,172.0,20.613059350549435
0,1987,Women,60-65,Danish,Higher education,228356.042,11171.0,1234.3360793847105
